system_name,task,env_name,num_minibatches,max_grad_norm,n_embd,ppo_epochs,clip_eps,decay_scaling_factor,recurrent_chunk_size,n_head,ent_coef,n_block,critic_lr,actor_lr,num_envs,num_updates,num_evaluation,alpha,delta
happo,tiny-2ag,rware,8,10,,8,0.1,,16,,0.00001,,0.0005,0.0005,64,1220,122,,
happo,tiny-4ag,rware,2,0.5,,8,0.1,,32,,0.01,,0.00025,0.00025,64,1220,122,,
happo,tiny-2ag-hard,rware,8,0.5,,8,0.2,,128,,0,,0.0005,0.0005,64,1220,122,,
happo,small-4ag-hard,rware,4,0.5,,8,0.05,,16,,0.01,,0.0005,0.0005,64,1220,122,,
happo,tiny-4ag-hard,rware,8,0.5,,8,0.1,,16,,0,,0.0005,0.0005,64,1220,122,,
happo,medium-4ag,rware,8,10,,8,0.1,,32,,0.01,,0.00025,0.00025,64,1220,122,,
happo,xlarge-4ag,rware,4,0.5,,2,0.1,,32,,0,,0.00025,0.00025,64,1220,122,,
happo,small-4ag,rware,4,10,,8,0.05,,128,,0,,0.0005,0.0005,64,1220,122,,
happo,medium-4ag-hard,rware,8,5,,8,0.05,,32,,0.01,,0.0005,0.0005,64,1220,122,,
happo,medium-6ag,rware,8,0.5,,4,0.05,,32,,0.01,,0.0005,0.0005,64,1220,122,,
happo,large-4ag,rware,2,0.5,,8,0.05,,32,,0,,0.0005,0.0005,64,1220,122,,
happo,large-4ag-hard,rware,8,10,,4,0.05,,32,,0.01,,0.0001,0.0001,64,1220,122,,
happo,large-8ag,rware,4,10,,8,0.2,,128,,0.01,,0.00025,0.00025,64,1220,122,,
happo,large-8ag-hard,rware,4,0.5,,4,0.05,,8,,0.01,,0.00025,0.00025,64,1220,122,,
happo,simple_spread_3ag,mpe,2,0.5,,8,0.2,,128,,0,,0.0005,0.0005,64,1220,122,,
happo,simple_spread_5ag,mpe,4,5,,4,0.2,,64,,0.01,,0.00025,0.00025,64,1220,122,,
happo,simple_spread_10ag,mpe,4,5, ,2,0.05, ,128, ,0.00001,  ,0.00025,0.00025,64,1220,122,,
happo,2s3z,smax,4,0.5, ,2,0.1, ,16, ,0.00001,  ,0.0005,0.0005,64,1220,122,,
happo,3s5z,smax,8,5, ,4,0.1, ,128, ,0,  ,0.0001,0.0001,64,1220,122,,
happo,5m_vs_6m,smax,2,10, ,2,0.1, ,16, ,0.01,  ,0.00025,0.00025,64,1220,122,,
happo,3s_vs_5z,smax,4,5, ,4,0.2, ,32, ,0,  ,0.00025,0.00025,64,1220,122,,
happo,10m_vs_11m,smax,8,10, ,8,0.05, ,64, ,0,  ,0.0005,0.0005,64,1220,122,,
happo,smacv2_5_units,smax,2,5, ,8,0.1, ,32, ,0.00001,  ,0.00025,0.00025,64,1220,122,,
happo,smacv2_10_units,smax,4,0.5, ,4,0.05, ,128, ,0,  ,0.00025,0.00025,64,1220,122,,
happo,2s-8x8-2p-2f-coop,lbf,8,0.5, ,2,0.1, ,8, ,0,  ,0.00025,0.00025,64,1220,122,,
happo,10x10-3p-3f,lbf,2,10, ,8,0.2, ,128, ,0.00001,  ,0.0005,0.0005,64,1220,122,,
happo,2s-10x10-3p-3f,lbf,4,5, ,4,0.2, ,128, ,0.01,  ,0.0005,0.0005,64,1220,122,,
happo,27m_vs_30m,smax,2,0.5, ,8,0.05, ,128, ,0.00001,  ,0.0005,0.0005,64,1220,122,,
happo,15x15-4p-3f,lbf,8,0.5, ,2,0.05, ,128, ,0.00001,  ,0.0005,0.0005,64,1220,122,,
happo,15x15-3p-5f,lbf,8,5, ,4,0.1, ,128, ,0.01,  ,0.00025,0.00025,64,1220,122,,
happo,8x8-2p-2f-coop,lbf,8,0.5, ,4,0.2, ,16, ,0,  ,0.0005,0.0005,64,1220,122,,
happo,con-7x7x5a,connector,2,5, ,8,0.2, ,16, ,0, ,0.0005,0.0005,64,1220,122,,
happo,con-5x5x3a,connector,2,0.5, ,8,0.1, ,128, ,0.01, ,0.0005,0.0005,64,1220,122,,
happo,con-10x10x10a,connector,8,10, ,4,0.05, ,128, ,0.01, ,0.0005,0.0005,64,1220,122,,
happo,con-15x15x23a,connector,4,0.5, ,8,0.05, ,128, ,0.01, ,0.0001,0.0001,64,1220,122,,
happo,15x15-4p-5f,lbf,8,5, ,4,0.1, ,128, ,0.00001,  ,0.0001,0.0001,64,1220,122,,
happo,xlarge-4ag-hard,rware,8,10,,2,0.2,,32,,0,,0.0001,0.0001,64,1220,122,,
happo,3s5z_vs_3s6z,smax,2,10, ,8,0.05, ,8, ,0,  ,0.00025,0.00025,64,1220,122,,
happo,6h_vs_8z,smax,8,10, ,8,0.05, ,32, ,0.01,  ,0.0005,0.0005,64,1220,122,,
happo,3x10,coordsum,4,10,,8,0.05,,128,,0.00001,,0.00025,0.00025,64,1220,122,,
happo,3x30,coordsum,8,5,,8,0.1,,128,,0,,0.0005,0.0005,64,1220,122,,
happo,5x20,coordsum,4,0.5,,8,0.2,,128,,0.01,,0.0005,0.0005,64,1220,122,,
happo,8x15,coordsum,4,10,,8,0.2,,64,,0.00001,,0.0005,0.0005,64,1220,122,,
mappo,3x10,coordsum,8,5,,8,0.05,,128,,0.00001,,0.0005,0.0005,64,1220,122,,
mappo,3x30,coordsum,8,5,,8,0.1,,128,,0,,0.0005,0.0005,64,1220,122,,
mappo,5x20,coordsum,4,10,,8,0.1,,128,,0.01,,0.00025,0.00025,64,1220,122,,
mappo,8x15,coordsum,4,10,,8,0.1,,128,,0.00001,,0.0005,0.0005,64,1220,122,,
ippo,3x10,coordsum,8,5,,8,0.05,,128,,0.00001,,0.0005,0.0005,64,1220,122,,
ippo,3x30,coordsum,8,5,,8,0.1,,128,,0,,0.0005,0.0005,64,1220,122,,
ippo,5x20,coordsum,4,10,,8,0.1,,128,,0.01,,0.00025,0.00025,64,1220,122,,
ippo,8x15,coordsum,4,10,,8,0.1,,128,,0.00001,,0.0005,0.0005,64,1220,122,,
mat,3x10,coordsum,1,10,64,5,0.2,, ,4,0.001,2,0.00025,,64,1220,122,,
mat,3x30,coordsum,8,10,64,10,0.2,, ,2,0.001,3,0.00025,,64,1220,122,,
mat,5x20,coordsum,8,5,64,15,0.2,, ,4,0.001,3,0.00025,,64,1220,122,,
mat,8x15,coordsum,8,10,64,15,0.1,, ,2,0.001,2,0.0005,,64,1220,122,,
sable,3x10,coordsum,2,5,64,15,0.2,0.5, ,1,0.01,2,0.0005,,64,1220,122,,
sable,3x30,coordsum,2,10,128,10,0.2,0.5,,2,0.01,3,0.0005,,64,1220,122,,
sable,5x20,coordsum,8,5,128,5,0.2,0.8, ,4,0.001,3,0.00025,,64,1220,122,,
sable,8x15,coordsum,8,5,32,5,0.2,0.5, ,2,0.01,1,0.001,,64,1220,122,,
magpo,3x10,coordsum,8,0.5,32,10,0.05,1, ,1,0.01,2,0.00025,,64,1220,122,2,1.3
magpo,3x30,coordsum,4,0.5,64,15,0.1,1,,1,0.01,1,0.0005,,64,1220,122,8,1.2
magpo,5x20,coordsum,8,0.5,64,15,0.2,0.5, ,2,0.01,2,0.0005,,64,1220,122,4,1.1
magpo,8x15,coordsum,8,0.5,64,15,0.2,1, ,1,0.01,2,0.001,,64,1220,122,8,1.3
magpo,10m_vs_11m,smax,2,0.5,32,2,0.1,0.3,,4,0.001,2,,0.001,64,1220,122,4,1.2
magpo,large-8ag,rware,4,10,128,5,0.05,0.5,,1,0.01,1,,0.001,64,1220,122,1,1.3
magpo,27m_vs_30m,smax,4,5,128,5,0.2,1,,1,0.001,1,,0.0005,64,1220,122,1,1.3
magpo,con-7x7x5a,connector,8,0.5,128,5,0.1,0.8,,1,0.001,3,,0.0005,64,1220,122,4,2
magpo,con-10x10x10a,connector,8,10,128,5,0.05,0.3,,2,0.01,1,,0.001,64,1220,122,4,1.5
magpo,con-15x15x23a,connector,4,10,128,5,0.05,1,,4,0.001,1,,0.001,64,1220,122,4,2
magpo,smacv2_10_units,smax,2,0.5,64,10,0.1,0.3,,1,0.001,2,,0.00025,64,1220,122,4,3
magpo,medium-6ag,rware,4,10,128,5,0.2,0.3,,2,0.01,1,,0.0005,64,1220,122,2,1.5
magpo,smacv2_5_units,smax,1,5,64,10,0.05,0.5,,1,0.001,1,,0.001,64,1220,122,8,1.5
magpo,6h_vs_8z,smax,1,0.5,128,10,0.1,1,,4,0.001,1,,0.001,64,1220,122,4,1.5
magpo,5m_vs_6m,smax,2,0.5,64,2,0.1,0.3,,4,0.001,1,,0.001,64,1220,122,1,3
magpo,medium-4ag-hard,rware,4,10,128,5,0.1,0.5,,1,0.01,1,,0.0005,64,1220,122,2,2
magpo,3s5z_vs_3s6z,smax,4,10,128,5,0.2,0.3,,2,0.01,1,,0.0005,64,1220,122,4,2
magpo,large-4ag-hard,rware,4,10,128,5,0.05,0.5,,4,0.01,1,,0.001,64,1220,122,4,1.2
magpo,3s5z,smax,4,10,128,5,0.2,0.3,,2,0.01,1,,0.0005,64,1220,122,8,1.5
magpo,3s_vs_5z,smax,4,10,128,5,0.1,1,,4,0.001,1,,0.001,64,1220,122,4,2
magpo,large-8ag-hard,rware,4,10,128,5,0.05,0.5,,4,0.01,1,,0.001,64,1220,122,1,1.5
magpo,small-4ag-hard,rware,4,10,128,5,0.05,0.5,,4,0.01,1,,0.001,64,1220,122,4,1.3
magpo,tiny-4ag,rware,2,0.5,128,5,0.2,0.5,,2,0.01,3,,0.0005,64,1220,122,8,1.3
magpo,2s-10x10-3p-3f,lbf,4,10,128,5,0.2,0.3,,2,0.01,1,,0.0005,64,1220,122,2,1.5
magpo,tiny-4ag-hard,rware,2,0.5,128,5,0.1,0.3,,1,0.01,3,,0.0005,64,1220,122,2,1.3
magpo,small-4ag,rware,1,10,128,10,0.2,0.3,,2,0.01,1,,0.0005,64,1220,122,8,2
magpo,2s3z,smax,4,10,128,5,0.2,0.3,,2,0.01,1,,0.0005,64,1220,122,4,1.3
magpo,8x8-2p-2f-coop,lbf,4,10,32,15,0.2,0.3,,4,0.001,2,,0.00025,64,1220,122,2,1.5
magpo,con-5x5x3a,connector,4,10,128,5,0.05,0.5,,4,0.01,1,,0.001,64,1220,122,4,1.5
magpo,tiny-2ag,rware,1,5,128,5,0.05,0.8,,1,0.01,1,,0.001,64,1220,122,2,1.5
magpo,xlarge-4ag,rware,4,10,128,5,0.05,0.5,,4,0.01,1,,0.001,64,1220,122,1,1.3
magpo,medium-4ag,rware,2,5,128,5,0.1,0.5,,1,0.01,1,,0.001,64,1220,122,1,1.5
magpo,15x15-4p-5f,lbf,1,0.5,128,15,0.1,1,,1,0.01,3,,0.00025,64,1220,122,4,1.5
magpo,xlarge-4ag-hard,rware,8,0.5,128,5,0.1,0.8,,4,0.001,3,,0.0001,64,1220,122,2,4
magpo,10x10-3p-3f,lbf,4,0.5,128,5,0.2,0.8,,4,0.001,1,,0.00025,64,1220,122,1,1.5
magpo,15x15-3p-5f,lbf,4,10,128,5,0.2,0.8,,2,0.01,1,,0.0005,64,1220,122,4,2
magpo,large-4ag,rware,4,10,128,5,0.05,0.5,,4,0.01,1,,0.001,64,1220,122,4,1.5
magpo,2s-8x8-2p-2f-coop,lbf,4,0.5,32,5,0.2,0.3,,4,0.001,2,,0.0005,64,1220,122,2,1.5
magpo,tiny-2ag-hard,rware,4,10,128,5,0.05,0.5,,4,0.01,1,,0.001,64,1220,122,8,1.3
magpo,15x15-4p-3f,lbf,1,0.5,128,5,0.1,0.8,,4,0.001,1,,0.001,64,1220,122,4,1.5
magpo,simple_spread_10ag,mpe,4,10,128,5,0.2,0.3,,2,0.01,1,,0.001,64,1220,122,2,3
magpo,simple_spread_5ag,mpe,8,0.5,128,5,0.1,0.8,,1,0.001,3,,0.0005,64,1220,122,4,1.3
magpo,simple_spread_3ag,mpe,8,0.5,128,5,0.1,0.8,,1,0.001,3,,0.0005,64,1220,122,1,1.5
